name,element,GW,assists,bonus,goals_scored,minutes,own_goals,saves,selected,transfers_balance,yellow_cards,value,total_points,mean_reversion
Aaron Ramsey,675,2,0,0,0,0,0,0,0.0,92,0,5.0,0,0.0
Aaron Ramsey,675,3,0,0,0,22,0,0,0.0,702,0,5.0,1,0.0
Aaron Ramsey,675,4,0,0,0,22,0,0,0.0,476,0,5.0,1,0.0
Abdoulaye Doucouré,249,1,0,0,0,90,0,0,0.2,-626,0,5.5,2,0.0
Abdoulaye Doucouré,249,2,0,0,0,180,0,0,0.2,-2565,0,5.5,4,0.0
Abdoulaye Doucouré,249,3,0,0,0,270,0,0,0.2,-3570,0,5.5,6,0.0
Abdoulaye Doucouré,249,4,0,2,1,360,0,0,0.2,-2692,1,5.5,14,2.5
Adam Lallana,138,1,0,0,0,0,0,0,0.1,-1170,0,5.0,0,0.0
Adam Lallana,138,2,0,0,0,9,0,0,0.1,-1962,0,4.9,1,0.0
Adam Lallana,138,3,0,0,0,39,0,0,0.1,-2196,0,4.9,2,0.0
Adam Lallana,138,4,0,0,0,48,0,0,0.1,-2656,1,4.9,2,0.25
Adama Traoré,662,2,0,0,0,4,0,0,0.0,1389,0,5.0,1,0.0
Adama Traoré,662,3,0,0,0,23,0,0,0.0,1577,0,5.0,2,0.0
Adama Traoré,662,4,0,0,0,32,0,0,0.1,2318,0,5.0,3,0.0
Albert Sambi Lokonga,21,1,0,0,0,0,0,0,0.0,-142,0,5.0,0,0.0
Albert Sambi Lokonga,21,2,0,0,0,0,0,0,0.0,-421,0,5.0,0,0.0
Albert Sambi Lokonga,21,3,0,0,0,0,0,0,0.0,-539,0,4.9,0,0.0
Albert Sambi Lokonga,21,4,0,0,0,0,0,0,0.0,-646,0,4.9,0,0.0
Alejandro Garnacho,382,1,0,0,0,67,0,0,2.7,-3511,0,5.0,3,0.0
Alejandro Garnacho,382,2,0,0,0,132,0,0,2.3,-35312,0,5.0,5,0.0
Alejandro Garnacho,382,3,0,0,0,132,0,0,1.9,-65585,0,4.9,5,0.0
Alejandro Garnacho,382,4,0,0,0,138,0,0,1.6,-97336,0,4.9,6,0.41666666666666696
Alex Iwobi,256,1,0,0,0,90,0,0,0.9,-3904,0,5.5,2,0.0
Alex Iwobi,256,2,0,0,0,140,0,0,0.7,-21419,0,5.5,3,0.0
Alex Iwobi,256,3,0,0,0,140,0,0,0.5,-38668,0,5.4,3,0.0
Alex Iwobi,256,4,0,0,0,140,0,0,0.3,-50633,0,5.4,3,0.08333333333333348
Alex Mighten,456,1,0,0,0,0,0,0,0.0,-176,0,4.5,0,0.0
Alex Mighten,456,2,0,0,0,0,0,0,0.0,-584,0,4.5,0,0.0
Alex Mighten,456,3,0,0,0,0,0,0,0.0,-694,0,4.4,0,0.0
Alex Mighten,456,4,0,0,0,0,0,0,0.0,-757,0,4.4,0,0.0
Alex Scott,644,1,0,0,0,0,0,0,0.0,-37,0,5.0,0,0.0
Alex Scott,644,2,0,0,0,0,0,0,0.0,-313,0,5.0,0,0.0
Alex Scott,644,3,0,0,0,0,0,0,0.0,-430,0,5.0,0,0.0
Alex Scott,644,4,0,0,0,0,0,0,0.0,-547,0,5.0,0,0.0
Alexis Mac Allister,304,1,0,0,0,90,0,0,11.8,-31549,1,6.0,1,0.0
Alexis Mac Allister,304,2,0,0,0,147,0,0,7.1,-420160,1,6.0,-1,0.0
Alexis Mac Allister,304,3,0,0,0,223,0,0,6.2,-508756,1,6.0,1,0.0
Alexis Mac Allister,304,4,0,0,0,309,0,0,5.3,-592819,1,6.0,4,0.9166666666666667
Allan Campbell,319,1,0,0,0,0,0,0,0.0,-513,0,5.0,0,0.0
Allan Campbell,319,2,0,0,0,0,0,0,0.0,-1369,0,4.9,0,0.0
Allan Campbell,319,3,0,0,0,0,0,0,0.0,-1702,0,4.9,0,0.0
Allan Campbell,319,4,0,0,0,0,0,0,0.0,-2455,0,4.9,0,0.0
Allan Saint-Maximin,426,1,0,0,0,0,0,0,0.1,-2660,0,6.0,0,0.0
Allan Saint-Maximin,426,2,0,0,0,0,0,0,0.0,-4096,0,6.0,0,0.0
Allan Saint-Maximin,426,3,0,0,0,0,0,0,0.0,-4475,0,6.0,0,0.0
Allan Saint-Maximin,426,4,0,0,0,0,0,0,0.0,-4870,0,6.0,0,0.0
Amad Diallo,371,1,0,0,0,0,0,0,0.0,-649,0,4.5,0,0.0
Amad Diallo,371,2,0,0,0,0,0,0,0.0,-1402,0,4.5,0,0.0
Amad Diallo,371,3,0,0,0,0,0,0,0.0,-1719,0,4.5,0,0.0
Amad Diallo,371,4,0,0,0,0,0,0,0.0,-2009,0,4.4,0,0.0
Amadou Onana,261,1,0,0,0,90,0,0,0.3,-782,0,5.0,2,0.0
Amadou Onana,261,2,0,0,0,180,0,0,0.2,-3528,0,5.0,4,0.0
Amadou Onana,261,3,0,0,0,270,0,0,0.2,-5008,0,4.9,6,0.0
Amadou Onana,261,4,0,0,0,360,0,0,0.2,-6405,0,4.9,8,1.0
Anass Zaroury,184,1,0,0,0,30,0,0,0.1,-2934,0,5.0,-2,0.0
Anass Zaroury,184,2,0,0,0,30,0,0,0.1,-6417,0,4.9,-2,0.0
Anass Zaroury,184,3,0,0,0,30,0,0,0.1,-7553,0,4.9,-2,0.0
Anass Zaroury,184,4,0,0,0,30,0,0,0.0,-8412,0,4.9,-2,0.0
Andre Brooks,655,1,0,0,0,3,0,0,0.0,479,0,4.5,1,0.0
Andre Brooks,655,2,0,0,0,19,0,0,0.0,1173,0,4.5,2,0.0
Andre Brooks,655,3,0,0,0,19,0,0,0.0,1116,0,4.5,2,0.0
Andre Brooks,655,4,0,0,0,19,0,0,0.0,1084,0,4.5,2,0.08333333333333326
Andreas Hoelgebaum Pereira,267,1,1,0,0,32,0,0,1.1,118,0,5.5,4,0.0
Andreas Hoelgebaum Pereira,267,2,1,0,0,99,0,0,1.0,-7315,0,5.5,6,0.0
Andreas Hoelgebaum Pereira,267,3,1,0,1,161,0,0,0.9,-15399,0,5.5,14,0.0
Andreas Hoelgebaum Pereira,267,4,1,0,1,251,0,0,1.0,-7338,1,5.5,15,1.75
Andrey Nascimento dos Santos,186,1,0,0,0,0,0,0,0.2,-648,0,4.5,0,0.0
Andrey Nascimento dos Santos,186,2,0,0,0,0,0,0,0.1,-2692,0,4.4,0,0.0
Andrey Nascimento dos Santos,186,3,0,0,0,0,0,0,0.1,-3346,0,4.4,0,0.0
Andrey Nascimento dos Santos,186,4,0,0,0,0,0,0,0.1,-4844,0,4.4,0,0.0
André Tavares Gomes,244,1,0,0,0,0,0,0,0.3,-1101,0,4.5,0,0.0
André Tavares Gomes,244,2,0,0,0,0,0,0,0.2,-4495,0,4.5,0,0.0
André Tavares Gomes,244,3,0,0,0,0,0,0,0.2,-6332,0,4.4,0,0.0
André Tavares Gomes,244,4,0,0,0,0,0,0,0.2,-8323,0,4.4,0,0.0
Anis Slimane,587,1,0,0,0,10,0,0,0.1,-477,1,5.0,0,0.0
Anis Slimane,587,2,0,0,0,10,0,0,0.0,-2185,1,4.9,0,0.0
Anis Slimane,587,3,0,0,0,10,0,0,0.0,-2927,1,4.9,0,0.0
Anis Slimane,587,4,0,0,0,10,0,0,0.0,-3368,1,4.9,0,0.0
Anssumane Fati Vieira,700,4,0,0,0,0,0,0,0.4,30405,0,6.5,0,0.0
Anthony Elanga,378,1,1,0,0,10,0,0,0.8,11127,0,5.0,4,0.0
Anthony Elanga,378,2,1,0,0,31,0,0,0.8,13474,0,5.0,5,0.0
