name,element,GW,bonus,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,transfers_balance,yellow_cards,value,total_points,mean_reversion
Aaron Ramsdale,17,1,0,0,1,90,0,0,1,18.5,-18501,0,5.0,2,0.0
Aaron Ramsdale,17,2,0,1,1,180,0,0,3,17.7,-65225,0,5.0,8,0.0
Aaron Ramsdale,17,3,0,1,3,270,0,0,4,17.1,-112069,0,5.0,9,0.0
Aaron Ramsdale,17,4,0,1,4,360,0,0,5,16.4,-175233,0,5.0,11,1.166666666666667
Adam Davies,479,1,0,0,0,0,0,0,0,0.2,-307,0,4.0,0,0.0
Adam Davies,479,2,0,0,0,0,0,0,0,0.2,-770,0,4.0,0,0.0
Adam Davies,479,3,0,0,0,0,0,0,0,0.2,-1155,0,4.0,0,0.0
Adam Davies,479,4,0,0,0,0,0,0,0,0.2,-1337,0,4.0,0,0.0
Adrián San Miguel del Castillo,289,1,0,0,0,0,0,0,0,0.4,-36,0,4.0,0,0.0
Adrián San Miguel del Castillo,289,2,0,0,0,0,0,0,0,0.3,-1060,0,4.0,0,0.0
Adrián San Miguel del Castillo,289,3,0,0,0,0,0,0,0,0.3,-1724,0,4.0,0,0.0
Adrián San Miguel del Castillo,289,4,0,0,0,0,0,0,0,0.3,-2551,0,4.0,0,0.0
Alfie Whiteman,521,1,0,0,0,0,0,0,0,0.3,-2306,0,4.0,0,0.0
Alfie Whiteman,521,2,0,0,0,0,0,0,0,0.2,-4653,0,4.0,0,0.0
Alfie Whiteman,521,3,0,0,0,0,0,0,0,0.2,-5695,0,4.0,0,0.0
Alfie Whiteman,521,4,0,0,0,0,0,0,0,0.2,-7161,0,4.0,0,0.0
Alisson Ramses Becker,291,1,0,0,1,90,0,0,4,9.5,11142,0,5.5,3,0.0
Alisson Ramses Becker,291,2,0,0,2,180,0,0,8,9.4,-19813,1,5.5,5,0.0
Alisson Ramses Becker,291,3,1,0,3,270,0,0,15,9.3,-33696,1,5.5,10,0.0
Alisson Ramses Becker,291,4,2,1,3,360,0,0,18,10.3,24411,1,5.5,18,3.0
Alphonse Areola,524,1,0,0,1,90,0,0,4,23.4,36341,0,4.0,3,0.0
Alphonse Areola,524,2,2,0,2,180,0,1,7,24.3,152968,0,4.0,13,0.0
Alphonse Areola,524,3,2,0,3,270,0,1,16,26.1,321891,0,4.0,18,0.0
Alphonse Areola,524,4,2,0,4,360,0,1,16,28.4,558084,0,4.1,20,2.166666666666666
Altay Bayindir,695,4,0,0,0,0,0,0,0,0.0,567,0,4.0,0,0.0
André Onana,597,1,1,1,0,90,0,0,6,28.5,42332,0,5.0,9,0.0
André Onana,597,2,1,1,2,180,0,0,11,29.3,78313,0,5.0,11,0.0
André Onana,597,3,1,1,4,270,0,0,13,27.7,-52412,1,5.0,11,0.0
André Onana,597,4,1,1,7,360,0,0,15,24.7,-312369,2,5.0,11,0.16666666666666607
Andy Lonergan,579,1,0,0,0,0,0,0,0,0.1,-48,0,4.0,0,0.0
Andy Lonergan,579,2,0,0,0,0,0,0,0,0.1,-332,0,4.0,0,0.0
Andy Lonergan,579,3,0,0,0,0,0,0,0,0.1,-525,0,4.0,0,0.0
Andy Lonergan,579,4,0,0,0,0,0,0,0,0.1,-760,0,4.0,0,0.0
Arijanet Muric,172,1,0,0,0,0,0,0,0,0.3,-2224,0,4.5,0,0.0
Arijanet Muric,172,2,0,0,0,0,0,0,0,0.2,-5366,0,4.5,0,0.0
Arijanet Muric,172,3,0,0,0,0,0,0,0,0.2,-6827,0,4.4,0,0.0
Arijanet Muric,172,4,0,0,0,0,0,0,0,0.2,-8555,0,4.4,0,0.0
Bailey Peacock-Farrell,175,1,0,0,0,0,0,0,0,0.0,-190,0,4.0,0,0.0
Bailey Peacock-Farrell,175,2,0,0,0,0,0,0,0,0.0,-373,0,4.0,0,0.0
Bailey Peacock-Farrell,175,3,0,0,0,0,0,0,0,0.0,-452,0,4.0,0,0.0
Bailey Peacock-Farrell,175,4,0,0,0,0,0,0,0,0.0,-559,0,4.0,0,0.0
Bart Verbruggen,152,1,0,0,0,0,0,0,0,0.5,-3754,0,4.5,0,0.0
Bart Verbruggen,152,2,0,0,0,0,0,0,0,0.4,-10513,0,4.4,0,0.0
